week,player_name,team_owner,position,points,note
2,Chuba Hubbard,Maserati Marv,RB,13.4,
2,Parker Washington,Bye Week,WR,13.3,
2,Jonah Coleman,JP'Marrgan Chase,RB,13.3,
2,Bhayshul Tuten,Surrender Your Booty,RB,13.2,
2,Broncos,The Gungans,DEF,13.0,
2,Jayden Daniels,Maserati Marv,QB,12.82,
2,Tetairoa McMillan,Bye Week,WR,12.6,
2,Christian Watson,The Gungans,WR,12.1,
2,Joe Burrow,HitmonAchanes,QB,12.04,
2,Tee Higgins,Tee Time,WR,12.0,
2,Bears,The Wet Bandits,DEF,12.0,
2,Breece Hall,Bye Week,RB,11.7,
2,Tyler Warren,The Gungans,TE,11.4,
2,Rachaad White,Team Mel,RB,11.3,
2,Romeo Doubs,The Wet Bandits,WR,11.1,
2,Bucky Irving,HitmonAchanes,RB,11.0,
2,Texans,Team Mel,DEF,11.0,
2,Steelers,Tee Time,DEF,11.0,
2,Xavier Worthy,Wild Bill,WR,11.0,
2,Jordan Love,The Gungans,QB,10.9,
2,Jalen Hurts,Team Mel,QB,10.88,
2,De'Von Achane,Wild Bill,RB,10.8,
2,Tank Bigsby,Wild Bill,RB,10.8,
2,Josh Downs,Jeff,WR,10.7,
2,Jalen Coker,Surrender Your Booty,WR,10.6,
2,D'Andre Swift,JP'Marrgan Chase,RB,10.4,
2,Rashee Rice,Tee Time,WR,10.3,
2,Lamar Jackson,Baby Mama,QB,10.1,
2,Blake Corum,Bye Week,RB,9.7,
2,Chase Brown,Surrender Your Booty,RB,9.7,
2,Bijan Robinson,Wild Bill,RB,9.6,
2,Oronde Gadsden,Maserati Marv,TE,8.8,
2,Emeka Egbuka,Wild Bill,WR,8.8,
2,Jaylen Warren,The Wet Bandits,RB,8.7,
2,Juwan Johnson,Jeff,TE,8.6,
2,Baker Mayfield,HitmonAchanes,QB,8.54,
2,Malik Willis,Team Mel,QB,8.54,
2,Bo Nix,Wild Bill,QB,8.36,
2,Ashton Jeanty,The Gungans,RB,8.3,
2,Tyjae Spears,Tee Time,RB,8.0,
2,Eagles,Wild Bill,DEF,8.0,
2,Harold Fannin Jr.,Bye Week,TE,7.9,
2,Mark Andrews,Team Mel,TE,7.9,
2,Matthew Golden,The Gungans,WR,7.8,
2,Brian Robinson,Tee Time,RB,7.7,
2,MarShawn Lloyd,Bye Week,RB,7.6,
2,Cam Skattebo,Baby Mama,RB,7.5,
2,Quinshon Judkins,Maserati Marv,RB,7.3,
2,Chris Godwin Jr.,Wild Bill,WR,7.3,
2,Tony Pollard,HitmonAchanes,RB,7.0,
2,Justin Jefferson,Tee Time,WR,7.0,
2,George Pickens,The Wet Bandits,WR,7.0,
2,Ravens,Bye Week,DEF,7.0,
2,Mike Evans,Baby Mama,WR,6.9,
2,Drake London,HitmonAchanes,WR,6.9,
2,Kyle Monangai,Jeff,RB,6.8,
2,Javonte Williams,JP'Marrgan Chase,RB,6.5,
2,Travis Etienne Jr.,Tee Time,RB,6.1,
2,Terry McLaurin,Maserati Marv,WR,6.0,
2,Chargers,Jeff,DEF,6.0,
2,Jaguars,The Gungans,DEF,6.0,
2,Jeremiyah Love,The Gungans,RB,6.0,
2,Woody Marks,The Gungans,RB,6.0,
2,Isaiah Likely,Surrender Your Booty,TE,5.8,
2,Rome Odunze,The Gungans,WR,5.8,
2,Brian Thomas Jr.,Maserati Marv,WR,5.5,
2,Rico Dowdle,HitmonAchanes,RB,5.4,
2,Rashid Shaheed,Jeff,WR,5.4,
2,Jacory Croskey-Merritt,Bye Week,RB,5.3,
2,KC Concepcion,JP'Marrgan Chase,WR,5.2,
2,Ladd McConkey,Team Mel,WR,5.0,
2,Deebo Samuel Sr.,The Wet Bandits,WR,5.0,
2,Caleb Williams,Tee Time,QB,4.96,
2,DK Metcalf,Maserati Marv,WR,4.7,
2,Luther Burden III,The Wet Bandits,WR,4.7,
2,Alvin Kamara,The Wet Bandits,RB,4.7,
2,Jadarian Price,Bye Week,RB,4.5,
2,Emmett Johnson,Jeff,RB,4.5,
2,Keaton Mitchell,Baby Mama,RB,4.4,
2,Jameson Williams,Surrender Your Booty,WR,4.3,
2,Carnell Tate,Baby Mama,WR,4.2,
2,Justin Herbert,Bye Week,QB,4.04,
2,Courtland Sutton,The Wet Bandits,WR,4.0,
2,Drake Maye,Surrender Your Booty,QB,3.86,
2,J.K. Dobbins,Maserati Marv,RB,3.6,
2,David Montgomery,Surrender Your Booty,RB,3.4,
2,Jakobi Meyers,JP'Marrgan Chase,WR,3.3,
2,Kaleb Johnson,Tee Time,RB,3.2,
2,Rhamondre Stevenson,JP'Marrgan Chase,RB,3.1,
2,Jordan Addison,Tee Time,WR,3.1,
2,Kenny Gainwell,Baby Mama,RB,3.0,
2,Tyler Allgeier,The Gungans,RB,2.9,
2,Michael Wilson,Tee Time,WR,2.8,
2,Tucker Kraft,Baby Mama,TE,2.5,
2,Saquon Barkley,Team Mel,RB,2.5,
2,Trevor Lawrence,Jeff,QB,2.38,
2,Kyle Pitts Sr.,HitmonAchanes,TE,2.0,
2,Quentin Johnston,Surrender Your Booty,WR,1.9,
2,Jonathon Brooks,HitmonAchanes,RB,1.6,
2,Alec Pierce,Surrender Your Booty,WR,1.6,
2,Wan'Dale Robinson,Bye Week,WR,1.4,
2,Makai Lemon,Surrender Your Booty,WR,1.4,
2,Chris Rodriguez Jr.,The Wet Bandits,RB,1.3,
2,Keenan Allen,HitmonAchanes,WR,1.0,
2,Jayden Reed,Team Mel,WR,0.9,
2,Dallas Goedert,Wild Bill,TE,0.9,
2,Colston Loveland,JP'Marrgan Chase,TE,0.8,
2,Mike Washington Jr.,Team Mel,WR,0.7,
2,Malik Nabers,Bye Week,WR,0.6,
2,Jaxson Dart,Surrender Your Booty,QB,0.4,
2,Zay Flowers,Baby Mama,WR,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Jordy Tyson,Bye Week,WR,0.0,"player not found in any real Week 2 box score at all -- likely inactive, injured, or off the active roster; verify"
2,Marvin Harrison Jr.,Maserati Marv,WR,0.0,
2,Nico Collins,HitmonAchanes,WR,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,De'Zhaun Stribling,JP'Marrgan Chase,WR,0.0,"player not found in any real Week 2 box score at all -- likely inactive, injured, or off the active roster; verify"
2,Zach Charbonnet,JP'Marrgan Chase,RB,0.0,"player not found in any real Week 2 box score at all -- likely inactive, injured, or off the active roster; verify"
